ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl
1	1	4	2	1	0.1	 6.0   	 6.0   	 66.0   	 94.0   
2	1	4	1	1	0.1	 5.5   	 5.5   	 73.0   	 110.0   
3	1	4	5	1	0.1	 5.7   	 5.7   	 60.0   	 85.0   
4	1	4	3	1	0.3	 6.0   	 6.0   	 55.0   	 80.0   
5	1	4	4	1	1.8	 7.0   	 8.8   	 60.0   	 90.0   
6	1	4	6	1	0.1	 6.8   	 6.8   	 51.0   	 72.0   
7	1	1	4	1	2.5	 5.4   	 7.9   	 79.0   	 120.0   
8	1	1	1	1	0.4	 5.8   	 5.8   	 52.0   	 79.0   
9	1	1	2	1	0.0	 5.8   	 5.8   	 52.0   	 79.0   
10	1	1	3	1	2.0	 9.9   	 11.9   	 36.0   	 50.0   
11	1	1	5	1	0.3	 13.0   	 13.0   	 25.0   	 37.0   
12	1	1	6	1	4.5	 14.0   	 18.5   	 33.0   	 46.0   
13	1	3	5	1	0.2	 11.0   	 11.0   	 33.0   	 47.0   
14	1	3	1	1	0.4	 9.1   	 9.1   	 65.0   	 93.0   
15	1	3	4	1	3.3	 6.6   	 9.9   	 51.0   	 72.0   
16	1	3	3	1	0.3	 6.8   	 6.8   	 39.0   	 58.0   
17	1	3	6	1	1.2	 16.0   	 16.0   	 31.0   	 45.0   
18	1	3	2	1	4.7	 6.5   	 11.2   	 62.0   	 93.0   
19	1	2	4	1	1.5	 7.6   	 9.1   	 67.0   	 100.0   
20	1	2	2	1	0.2	 6.8   	 6.8   	 62.0   	 91.0   
21	1	2	1	1	0.1	 9.3   	 9.3   	 63.0   	 98.0   
22	1	2	3	1	3.1	 5.9   	 9.0   	 45.0   	 64.0   
23	1	2	6	1	0.3	 10.0   	 10.0   	 48.0   	 69.0   
24	1	2	5	1	2.4	 16.0   	 18.4   	 33.0   	 56.0   
25	2	3	5	1	0.9	 14.0   	 14.0   	 31.0   	 46.0   
26	2	3	1	1	8.0	 5.3   	 13.3   	 55.0   	 85.0   
27	2	3	3	1	9.5	 8.5   	 18.0   	 37.0   	 56.0   
28	2	3	6	1	2.5	 11.0   	 13.5   	 30.0   	 46.0   
29	2	3	2	1	0.1	 6.7   	 6.7   	 47.0   	 79.0   
30	2	3	4	1	0.8	 7.5   	 7.5   	 49.0   	 73.0   
31	2	4	1	1	0.4	 4.1   	 4.1   	 85.0   	 120.0   
32	2	4	5	1	4.0	 8.2   	 12.2   	 32.0   	 50.0   
33	2	4	6	1	7.3	 6.8   	 14.1   	 65.0   	 97.0   
34	2	4	4	1	0.4	 5.9   	 5.9   	 75.0   	 110.0   
35	2	4	2	1	0.6	 3.9   	 3.9   	 53.0   	 82.0   
36	2	4	3	1	0.5	 4.6   	 4.6   	 47.0   	 67.0   
37	2	2	4	1	0.5	 3.0   	 3.0   	 69.0   	 100.0   
38	2	2	1	1	0.3	 5.4   	 5.4   	 72.0   	 110.0   
39	2	2	5	1	3.5	 11.0   	 14.5   	 33.0   	 50.0   
