ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg
1	4	1	4	1	1.4	3.3	4.7	64
2	4	3	5	1	1.3	4	5.3	61
3	4	3	4	1	1.3	5.5	6.8	66
4	4	4	4	1	1.4	10	11.4	64
5	3	4	4	1	0.6	4.2	4.8	45
6	3	3	5	1	1.7	5.5	7.2	55
7	3	3	4	1	0.98	8	8.98	92
8	3	1	4	1	1.2	4.9	6.1	66
9	2	3	5	1	0.91	4.2	5.11	64
10	2	3	4	1	1.4	7.8	9.2	56
11	2	4	4	1	1.6	6.1	7.7	56
12	2	1	4	1	1.3	6.1	7.4	66
13	1	4	4	1	1.1	9.2	10.3	55
14	1	1	4	1	1.7	6.1	7.8	69
15	1	3	4	1	2.2	6.9	9.1	46
16	1	3	5	1	0.71	5.2	5.91	47
17	4	1	4	2	1.2	8.8	10	48
18	4	3	5	2	1.1	10	11.1	35
19	4	3	4	2	0.78	8.8	9.58	33
20	4	4	4	2	3.2	15	18.2	40
21	3	4	4	2	4.1	10	14.1	44
22	3	3	5	2	1.2	13	14.2	49
23	3	3	4	2	12	14	26	45
24	3	1	4	2	2.5	7.3	9.8	61
25	2	3	5	2	1.6	10	11.6	56
26	2	3	4	2	0.92	9	9.92	54
27	2	4	4	2	1.2	7.9	9.1	49
28	2	1	4	2	2.2	10	12.2	67
29	1	4	4	2	1.6	9.2	10.8	43
30	1	1	4	2	0.99	5.3	6.29	71
31	1	3	4	2	1.7	9.7	11.4	45
32	1	3	5	2	1.4	8.9	10.3	57
33	4	1	4	3	1.1	14	15.1	0
34	4	3	5	3	0.56	7.8	8.36	0
35	4	3	4	3	1.1	13	14.1	0
36	4	4	4	3	0.56	11	11.56	0
37	3	4	4	3	2.2	12	14.2	0
38	3	3	5	3	0.45	13	13.45	0
39	3	3	4	3	0.8	12	12.8	0
40	3	1	4	3	0.52	6.5	7.02	0
41	2	3	5	3	0.87	14	14.87	0
42	2	3	4	3	3.6	12	15.6	0
43	2	4	4	3	0.45	12	12.45	0
44	2	1	4	3	1.5	12	13.5	0
45	1	4	4	3	2.5	17	19.5	0
46	1	1	4	3	7.6	12	19.6	0
47	1	3	4	3	0.83	12	12.83	0
48	1	3	5	3	1.3	15	16.3	0
