ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl	 KuitLisKokN 	 KuitLisN 	 TOCN 	 TOCNliu 	 LisC 
2	1	4	1	1	0.1	 5.5   	 5.5   	 73.0   	 110.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
8	1	1	1	1	0.4	 5.8   	 5.8   	 52.0   	 79.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
14	1	3	1	1	0.4	 9.1   	 9.1   	 65.0   	 93.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
21	1	2	1	1	0.1	 9.3   	 9.3   	 63.0   	 98.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
26	2	3	1	1	8.0	 5.3   	 13.3   	 55.0   	 85.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
31	2	4	1	1	0.4	 4.1   	 4.1   	 85.0   	 120.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
38	2	2	1	1	0.3	 5.4   	 5.4   	 72.0   	 110.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
48	2	1	1	1	0.4	 7.4   	 7.4   	 69.0   	 99.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
52	3	4	1	1	3.4	 4.3   	 7.7   	 52.0   	 77.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
58	3	3	1	1	0.6	 8.3   	 8.3   	 45.0   	 67.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
66	3	1	1	1	0.5	 6.9   	 6.9   	 79.0   	 120.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
71	3	2	1	1	0.8	 10.0   	 10.0   	 42.0   	 55.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
75	4	2	1	1	0.5	 4.8   	 4.8   	 38.0   	 56.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
79	4	1	1	1	0.3	 9.1   	 9.1   	 45.0   	 76.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
85	4	3	1	1	0.0	 8.5   	 8.5   	 46.0   	 67.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
94	4	4	1	1	0.0	 6.4   	 6.4   	 40.0   	 53.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
98	1	4	1	2	0.0	 7.1   	 7.1   	 57.0   	 81.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
104	1	1	1	2	3.4	 5.4   	 8.8   	 61.0   	 86.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
