"kas"	"lan"	"time"	"mean"	"sd"
"1"	"R"	"S1"	"29.9.2015"	7.3	1.3735598518691
"2"	"R"	"S1"	"23.10.2015"	5.475	0.537742193496722
"3"	"R"	"S1"	"15.11.2015"	4.975	0.602079728939615
"4"	"R"	"S1"	"22.4.2016"	9.65	1.93993127026019
"5"	"R"	"S1"	"12.9.2016"	11.825	2.39217474278114
"6"	"R"	"S1"	"xx.10.2017"	3.55	0.636396103067893
"7"	"R"	"S2"	"29.9.2015"	6.225	1.09048918686371
"8"	"R"	"S2"	"23.10.2015"	3.925	1.77270979012358
"9"	"R"	"S2"	"15.11.2015"	4.575	1.15
"10"	"R"	"S2"	"22.4.2016"	6.725	2.09980157792746
"11"	"R"	"S2"	"12.9.2016"	11.275	3.31197322855525
"12"	"R"	"S2"	"xx.10.2017"	3.25	0.0707106781186545
"13"	"R"	"S3"	"29.9.2015"	9.25	3.2949456242352
"14"	"R"	"S3"	"23.10.2015"	4.825	1.51959424408842
"15"	"R"	"S3"	"15.11.2015"	4	0.496655480858378
"16"	"R"	"S3"	"22.4.2016"	8.35	1.2396235987858
"17"	"R"	"S3"	"12.9.2016"	11.25	3.57164761233057
"18"	"R"	"S3"	"xx.10.2017"	3.05	0.0707106781186548
"19"	"R"	"S4"	"29.9.2015"	5.8	1.04243305140746
"20"	"R"	"S4"	"23.10.2015"	4.725	1.28419884233972
"21"	"R"	"S4"	"15.11.2015"	4.425	0.170782512765993
"22"	"R"	"S4"	"22.4.2016"	9.225	1.67804449682758
"23"	"R"	"S4"	"12.9.2016"	12.25	3.18486001785531
"24"	"R"	"S4"	"xx.10.2017"	3.65	0.0707106781186548
"25"	"R"	"Min"	"29.9.2015"	21.25	6.65206734782504
"26"	"R"	"Min"	"23.10.2015"	16.5	2.64575131106459
"27"	"R"	"Min"	"15.11.2015"	11.9	2.28910462845192
"28"	"R"	"Min"	"22.4.2016"	9.475	2.45950537032686
"29"	"R"	"Min"	"12.9.2016"	10.575	1.84096894777361
"30"	"R"	"Min"	"xx.10.2017"	3.1	0.848528137423857
"31"	"R"	"C"	"29.9.2015"	10.65	2.26347814951533
"32"	"R"	"C"	"23.10.2015"	10.3	0.824621125123532
"33"	"R"	"C"	"15.11.2015"	7.575	1.14418821295566
"34"	"R"	"C"	"22.4.2016"	9.525	2.54869247523771
"35"	"R"	"C"	"12.9.2016"	9.575	2.34147389479362
"36"	"R"	"C"	"xx.10.2017"	2.75	0.353553390593274
"37"	"KK"	"S1"	"29.9.2015"	7.375	2.65377090194312
"38"	"KK"	"S1"	"23.10.2015"	6	1.76446403571547
"39"	"KK"	"S1"	"15.11.2015"	4.75	0.91104335791443
"40"	"KK"	"S1"	"22.4.2016"	8.775	2.69613921500108
"41"	"KK"	"S1"	"12.9.2016"	11.75	1.5
"42"	"KK"	"S1"	"xx.10.2017"	2.65	0.494974746830583
"43"	"KK"	"S2"	"29.9.2015"	7.05	2.55408170059874
"44"	"KK"	"S2"	"23.10.2015"	5.7	1
"45"	"KK"	"S2"	"15.11.2015"	4.25	1.65428735915701
"46"	"KK"	"S2"	"22.4.2016"	8.75	2.27522892621087
"47"	"KK"	"S2"	"12.9.2016"	12.5	1
"48"	"KK"	"S2"	"xx.10.2017"	3.2	0.141421356237309
"49"	"KK"	"S3"	"29.9.2015"	5.675	0.763216876123688
"50"	"KK"	"S3"	"23.10.2015"	6.15	2.09364116632563
"51"	"KK"	"S3"	"15.11.2015"	4.25	1.00166528008778
"52"	"KK"	"S3"	"22.4.2016"	10.125	4.39952648967288
"53"	"KK"	"S3"	"12.9.2016"	10.975	2.19146070008111
"54"	"KK"	"S3"	"xx.10.2017"	3.25	0.636396103067893
"55"	"KK"	"S4"	"29.9.2015"	6.025	2.06619618300554
"56"	"KK"	"S4"	"23.10.2015"	4.3	1.08012344973464
"57"	"KK"	"S4"	"15.11.2015"	4.525	1.01447851956888
"58"	"KK"	"S4"	"22.4.2016"	10.625	1.59243000892766
"59"	"KK"	"S4"	"12.9.2016"	12.25	1.5
"60"	"KK"	"S4"	"xx.10.2017"	3.4	0
"61"	"KK"	"Min"	"29.9.2015"	13	2.94392028877595
"62"	"KK"	"Min"	"23.10.2015"	13.25	1.5
"63"	"KK"	"Min"	"15.11.2015"	7.575	2.20208234783958
"64"	"KK"	"Min"	"22.4.2016"	11.275	1.66408132814075
"65"	"KK"	"Min"	"12.9.2016"	10.425	1.30735101126923
"66"	"KK"	"Min"	"xx.10.2017"	2.8	1.13137084989848
"67"	"KK"	"C"	"29.9.2015"	10.85	2.05507501890645
"68"	"KK"	"C"	"23.10.2015"	11.85	2.49466096560902
"69"	"KK"	"C"	"15.11.2015"	8.15	1.70977581376429
"70"	"KK"	"C"	"22.4.2016"	11.2	1.04562580942387
"71"	"KK"	"C"	"12.9.2016"	9.4	1.81107702762748
"72"	"KK"	"C"	"xx.10.2017"	2.7	0.989949493661166
"73"	"P"	"S1"	"29.9.2015"	7.8	1.70098010962308
"74"	"P"	"S1"	"23.10.2015"	6.15	0.903696114115064
"75"	"P"	"S1"	"15.11.2015"	5.625	0.531507290636733
"76"	"P"	"S1"	"22.4.2016"	13.25	3.20156211871642
"77"	"P"	"S1"	"12.9.2016"	12	1.15470053837925
"78"	"P"	"S1"	"xx.10.2017"	3.05	0.494974746830583
"79"	"P"	"S2"	"29.9.2015"	7	0.496655480858378
"80"	"P"	"S2"	"23.10.2015"	5.2	1.0295630140987
"81"	"P"	"S2"	"15.11.2015"	4.075	0.43493294502333
"82"	"P"	"S2"	"22.4.2016"	9.4	3.06920185064456
"83"	"P"	"S2"	"12.9.2016"	11.725	1.53920975395385
