"kas" "lan" "time" "mean" "sd" "lower" "upper"
"1" "R" "S1" "29.9.2015" 7.3 1.3735598518691 8.6735598518691 5.9264401481309
"2" "R" "S1" "23.10.2015" 5.475 0.537742193496722 6.01274219349672 4.93725780650328
"3" "R" "S1" "15.11.2015" 4.975 0.602079728939615 5.57707972893961 4.37292027106038
"4" "R" "S1" "22.4.2016" 9.65 1.93993127026019 11.5899312702602 7.71006872973981
"5" "R" "S1" "12.9.2016" 11.825 2.39217474278114 14.2171747427811 9.43282525721886
"6" "R" "S1" "16.10.2017" 4.125 0.797391580927046 4.92239158092705 3.32760841907295
"7" "R" "S2" "29.9.2015" 6.225 1.09048918686371 7.31548918686371 5.13451081313629
"8" "R" "S2" "23.10.2015" 3.925 1.77270979012358 5.69770979012358 2.15229020987642
"9" "R" "S2" "15.11.2015" 4.575 1.15 5.725 3.425
"10" "R" "S2" "22.4.2016" 6.725 2.09980157792746 8.82480157792746 4.62519842207254
"11" "R" "S2" "12.9.2016" 11.275 3.31197322855525 14.5869732285552 7.96302677144475
"12" "R" "S2" "16.10.2017" 4 0.890692614392492 4.89069261439249 3.10930738560751
"13" "R" "S3" "29.9.2015" 9.25 3.2949456242352 12.5449456242352 5.9550543757648
"14" "R" "S3" "23.10.2015" 4.825 1.51959424408842 6.34459424408842 3.30540575591158
"15" "R" "S3" "15.11.2015" 4 0.496655480858378 4.49665548085838 3.50334451914162
"16" "R" "S3" "22.4.2016" 8.35 1.2396235987858 9.5896235987858 7.1103764012142
"17" "R" "S3" "12.9.2016" 11.25 3.57164761233057 14.8216476123306 7.67835238766943
"18" "R" "S3" "16.10.2017" 3.9 1.15758369027902 5.05758369027902 2.74241630972098
"19" "R" "S4" "29.9.2015" 5.8 1.04243305140746 6.84243305140746 4.75756694859254
"20" "R" "S4" "23.10.2015" 4.725 1.28419884233972 6.00919884233972 3.44080115766028
"21" "R" "S4" "15.11.2015" 4.425 0.170782512765993 4.59578251276599 4.25421748723401
"22" "R" "S4" "22.4.2016" 9.225 1.67804449682758 10.9030444968276 7.54695550317242
"23" "R" "S4" "12.9.2016" 12.25 3.18486001785531 15.4348600178553 9.06513998214469
"24" "R" "S4" "16.10.2017" 4.35 0.888819441731559 5.23881944173156 3.46118055826844
"25" "R" "Min" "29.9.2015" 21.25 6.65206734782504 27.902067347825 14.597932652175
"26" "R" "Min" "23.10.2015" 16.5 2.64575131106459 19.1457513110646 13.8542486889354
"27" "R" "Min" "15.11.2015" 11.9 2.28910462845192 14.1891046284519 9.61089537154808
"28" "R" "Min" "22.4.2016" 9.475 2.45950537032686 11.9345053703269 7.01549462967314
"29" "R" "Min" "12.9.2016" 10.575 1.84096894777361 12.4159689477736 8.73403105222639
"30" "R" "Min" "16.10.2017" 3.825 1.03722385883344 4.86222385883344 2.78777614116656
"31" "R" "C" "29.9.2015" 10.65 2.26347814951533 12.9134781495153 8.38652185048467
"32" "R" "C" "23.10.2015" 10.3 0.824621125123532 11.1246211251235 9.47537887487647
"33" "R" "C" "15.11.2015" 7.575 1.14418821295566 8.71918821295566 6.43081178704434
"34" "R" "C" "22.4.2016" 9.525 2.54869247523771 12.0736924752377 6.97630752476229
"35" "R" "C" "12.9.2016" 9.575 2.34147389479362 11.9164738947936 7.23352610520638
